"BehaviorSpace results (NetLogo 6.2.0)"
"main.0"
"Monitor: Number of Bubbles (For Calibrating With Literature)"
"05/12/2021 17:56:51:387 +0530"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","incoming-bubble-rate","increase-size-probability-if-collide","probability-of-collision","initial-bubble-number","[step]","count turtles"
"1","0","50","5","2000","151","357"
"1","0","50","5","2000","152","355"
"1","0","50","5","2000","153","354"
"1","0","50","5","2000","154","352"
"1","0","50","5","2000","155","349"
"1","0","50","5","2000","156","347"
"1","0","50","5","2000","157","346"
"1","0","50","5","2000","158","345"
"1","0","50","5","2000","159","344"
"1","0","50","5","2000","160","342"
"1","0","50","5","2000","161","342"
"1","0","50","5","2000","162","340"
"1","0","50","5","2000","163","336"
"1","0","50","5","2000","164","334"
"1","0","50","5","2000","165","333"
"1","0","50","5","2000","166","328"
"1","0","50","5","2000","167","328"
"1","0","50","5","2000","168","327"
"1","0","50","5","2000","169","325"
"1","0","50","5","2000","170","320"
"1","0","50","5","2000","171","318"
"1","0","50","5","2000","172","316"
"1","0","50","5","2000","173","313"
"1","0","50","5","2000","174","312"
"1","0","50","5","2000","175","312"
"1","0","50","5","2000","176","310"
"1","0","50","5","2000","177","306"
"1","0","50","5","2000","178","303"
"1","0","50","5","2000","179","302"
"1","0","50","5","2000","180","301"
"1","0","50","5","2000","181","300"
"1","0","50","5","2000","182","299"
"1","0","50","5","2000","183","298"
"1","0","50","5","2000","184","297"
"1","0","50","5","2000","185","295"
"1","0","50","5","2000","186","293"
"1","0","50","5","2000","187","291"
"1","0","50","5","2000","188","289"
"1","0","50","5","2000","189","288"
"1","0","50","5","2000","190","288"
"1","0","50","5","2000","191","286"
"1","0","50","5","2000","192","284"
"1","0","50","5","2000","193","282"
"1","0","50","5","2000","194","277"
"1","0","50","5","2000","195","277"
"1","0","50","5","2000","196","277"
"1","0","50","5","2000","197","274"
"1","0","50","5","2000","198","274"
"1","0","50","5","2000","199","272"
"1","0","50","5","2000","200","271"
"1","0","50","5","2000","201","270"
"1","0","50","5","2000","202","267"
"1","0","50","5","2000","203","265"
"1","0","50","5","2000","204","265"
"1","0","50","5","2000","205","264"
"1","0","50","5","2000","206","263"
"1","0","50","5","2000","207","263"
"1","0","50","5","2000","208","262"
"1","0","50","5","2000","209","259"
"1","0","50","5","2000","210","259"
"1","0","50","5","2000","211","257"
"1","0","50","5","2000","212","255"
"1","0","50","5","2000","213","252"
"1","0","50","5","2000","214","250"
"1","0","50","5","2000","215","250"
"1","0","50","5","2000","216","250"
"1","0","50","5","2000","217","250"
"1","0","50","5","2000","218","247"
"1","0","50","5","2000","219","247"
"1","0","50","5","2000","220","247"
"1","0","50","5","2000","221","247"
"1","0","50","5","2000","222","246"
"1","0","50","5","2000","223","245"
"1","0","50","5","2000","224","245"
"1","0","50","5","2000","225","242"
"1","0","50","5","2000","226","241"
"1","0","50","5","2000","227","241"
"1","0","50","5","2000","228","241"
"1","0","50","5","2000","229","241"
"1","0","50","5","2000","230","241"
"1","0","50","5","2000","231","240"
"1","0","50","5","2000","232","240"
"1","0","50","5","2000","233","239"
"1","0","50","5","2000","234","237"
"1","0","50","5","2000","235","235"
"1","0","50","5","2000","236","233"
"1","0","50","5","2000","237","230"
"1","0","50","5","2000","238","227"
"1","0","50","5","2000","239","227"
"1","0","50","5","2000","240","227"
"1","0","50","5","2000","241","226"
"1","0","50","5","2000","242","221"
"1","0","50","5","2000","243","221"
"1","0","50","5","2000","244","221"
"1","0","50","5","2000","245","221"
"1","0","50","5","2000","246","221"
"1","0","50","5","2000","247","219"
"1","0","50","5","2000","248","219"
"1","0","50","5","2000","249","219"
"1","0","50","5","2000","250","218"
"1","0","50","5","2000","251","216"
"1","0","50","5","2000","252","215"
"1","0","50","5","2000","253","215"
"1","0","50","5","2000","254","215"
"1","0","50","5","2000","255","214"
"1","0","50","5","2000","256","214"
"1","0","50","5","2000","257","213"
"1","0","50","5","2000","258","213"
"1","0","50","5","2000","259","213"
"1","0","50","5","2000","260","212"
"1","0","50","5","2000","261","212"
"1","0","50","5","2000","262","212"
"1","0","50","5","2000","263","212"
"1","0","50","5","2000","264","212"
"1","0","50","5","2000","265","209"
"1","0","50","5","2000","266","208"
"1","0","50","5","2000","267","208"
"1","0","50","5","2000","268","208"
"1","0","50","5","2000","269","207"
"1","0","50","5","2000","270","207"
"1","0","50","5","2000","271","206"
"1","0","50","5","2000","272","205"
"1","0","50","5","2000","273","204"
"1","0","50","5","2000","274","204"
"1","0","50","5","2000","275","204"
"1","0","50","5","2000","276","202"
"1","0","50","5","2000","277","201"
